Date	Time	Global_active_power	Global_reactive_power	Voltage	Global_intensity	Sub_metering_1	Sub_metering_2	Sub_metering_3
15/08/2023	00:00:00	0.118	0.026	239.171	0.505	0.048	0.034	0.054
15/08/2023	02:00:00	0.075	0.026	227.409	0.35	0.018	0.012	0.02
15/08/2023	04:00:00	0.099	0.035	235.579	0.445	0.035	0.024	0.039
15/08/2023	06:00:00	0.731	0.241	228.243	3.372	0.468	0.347	0.545
15/08/2023	08:00:00	0.349	0.099	232.866	1.557	0.206	0.151	0.239
15/08/2023	10:00:00	0.289	0.09	227.165	1.33	0.166	0.12	0.191
15/08/2023	12:00:00	0.56	0.183	236.721	2.486	0.357	0.255	0.408
15/08/2023	14:00:00	0.329	0.082	225.787	1.5	0.191	0.142	0.223
15/08/2023	16:00:00	0.405	0.065	239.144	1.715	0.253	0.174	0.283
15/08/2023	18:00:00	0.697	0.163	226.546	3.161	0.452	0.325	0.518
15/08/2023	20:00:00	0.559	0.198	232.429	2.552	0.365	0.248	0.405
15/08/2023	22:00:00	0.345	0.106	234.905	1.538	0.207	0.148	0.236
16/08/2023	00:00:00	0.122	0.019	227.836	0.543	0.051	0.035	0.057
16/08/2023	02:00:00	0.088	0.022	238.343	0.38	0.027	0.018	0.03
16/08/2023	04:00:00	0.089	0.031	228.001	0.413	0.027	0.02	0.031
16/08/2023	06:00:00	0.67	0.133	229.116	2.982	0.43	0.313	0.496
16/08/2023	08:00:00	0.347	0.117	233.132	1.57	0.212	0.146	0.237
16/08/2023	10:00:00	0.258	0.055	239.706	1.101	0.143	0.106	0.167
16/08/2023	12:00:00	0.509	0.116	237.169	2.2	0.325	0.226	0.366
16/08/2023	14:00:00	0.34	0.102	226.196	1.569	0.198	0.148	0.232
16/08/2023	16:00:00	0.476	0.144	234.325	2.122	0.29	0.218	0.341
16/08/2023	18:00:00	0.698	0.156	229.913	3.112	0.458	0.321	0.518
16/08/2023	20:00:00	0.652	0.222	232.089	2.966	0.427	0.297	0.48
16/08/2023	22:00:00	0.382	0.081	233.407	1.673	0.232	0.166	0.265
17/08/2023	00:00:00	0.122	0.043	231.428	0.557	0.049	0.037	0.057
17/08/2023	02:00:00	0.073	0.022	234.519	0.326	0.016	0.012	0.018
17/08/2023	04:00:00	0.105	0.03	228.79	0.476	0.039	0.027	0.044
17/08/2023	06:00:00	0.648	0.202	226.239	3.001	0.41	0.305	0.479
17/08/2023	08:00:00	0.394	0.096	237.06	1.711	0.246	0.168	0.274
17/08/2023	10:00:00	0.299	0.054	227.861	1.335	0.175	0.124	0.199
17/08/2023	12:00:00	0.599	0.183	238.362	2.629	0.375	0.281	0.439
17/08/2023	14:00:00	0.305	0.062	231.421	1.345	0.182	0.125	0.203
17/08/2023	16:00:00	0.4	0.115	232.659	1.788	0.241	0.178	0.28
17/08/2023	18:00:00	0.671	0.112	230.097	2.955	0.43	0.314	0.496
17/08/2023	20:00:00	0.607	0.181	235.505	2.689	0.401	0.271	0.443
17/08/2023	22:00:00	0.396	0.108	228.826	1.796	0.24	0.175	0.277
18/08/2023	00:00:00	0.116	0.029	225.646	0.529	0.046	0.033	0.053
18/08/2023	02:00:00	0.073	0.013	229.224	0.325	0.016	0.012	0.019
18/08/2023	04:00:00	0.09	0.014	232.344	0.391	0.027	0.02	0.032
18/08/2023	06:00:00	0.709	0.227	236.372	3.15	0.468	0.325	0.525
18/08/2023	08:00:00	0.353	0.086	234.458	1.551	0.213	0.151	0.242
18/08/2023	10:00:00	0.259	0.079	237.462	1.141	0.144	0.107	0.167
18/08/2023	12:00:00	0.513	0.12	233.845	2.252	0.314	0.238	0.37
18/08/2023	14:00:00	0.323	0.078	228.452	1.456	0.188	0.139	0.219
18/08/2023	16:00:00	0.46	0.078	230.824	2.023	0.281	0.21	0.328
18/08/2023	18:00:00	0.703	0.121	226.779	3.145	0.467	0.319	0.519
18/08/2023	20:00:00	0.576	0.116	234.868	2.5	0.369	0.262	0.42
18/08/2023	22:00:00	0.365	0.126	228.679	1.688	0.226	0.154	0.251
19/08/2023	00:00:00	0.144	0.043	234.47	0.64	0.065	0.047	0.075
19/08/2023	02:00:00	0.093	0.017	238.377	0.395	0.03	0.021	0.034
19/08/2023	04:00:00	0.109	0.036	226.345	0.51	0.043	0.029	0.047
19/08/2023	06:00:00	0.77	0.264	225.236	3.614	0.509	0.356	0.575
19/08/2023	08:00:00	0.36	0.094	227.48	1.634	0.219	0.153	0.247
19/08/2023	10:00:00	0.32	0.073	228.419	1.436	0.186	0.137	0.216
19/08/2023	12:00:00	0.599	0.144	236.148	2.61	0.393	0.269	0.437
